Data_type,Sensitivity,Department,Purpose,Emergency,Access_policy
Administrative Data,Highly Confidential,Cardiology,Billing,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Cardiology department with clearance level 3.
Research Data,Restricted,Radiology,Training,Yes,This data can be accessed by users having roles: (Nurse or Nurse) and belonging to the Radiology department with clearance level 1.
Administrative Data,Restricted,General Medicine,Billing,Yes,This data can be accessed by users having roles: (Doctor or Nurse) and belonging to the General Medicine department with clearance level 2.
Prescriptions,Restricted,Oncology,Treatment,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Oncology department with clearance level 2.
Imaging Data,Confidential,General Medicine,Research,Yes,This data can be accessed by users having roles: (Nurse or Nurse) and belonging to the General Medicine department with clearance level 2.
Imaging Data,Public,General Medicine,Billing,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the General Medicine department with clearance level 1.
Lab Results,Public,Radiology,Research,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Radiology department with clearance level 2.
Medical Records,Highly Confidential,Cardiology,Research,No,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Cardiology department with clearance level 2.
Lab Results,Highly Confidential,Oncology,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Oncology department with clearance level 2.
Prescriptions,Public,General Medicine,Billing,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the General Medicine department with clearance level 3.
Research Data,Public,General Medicine,Research,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the General Medicine department with clearance level 1.
Administrative Data,Public,Oncology,Research,Yes,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Oncology department with clearance level 3.
Prescriptions,Restricted,Radiology,Training,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Radiology department with clearance level 3.
Prescriptions,Highly Confidential,Neurology,Treatment,Yes,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Neurology department with clearance level 1.
